# Mass sigma dsigma2/dM
1.258925411794166260e+12 2.069700952485178824e+00 -1.017046132925107365e-12
1.318256738556410156e+12 2.055479233912325565e+00 -9.615039688669000091e-13
1.380384264602886719e+12 2.041303259172509321e+00 -9.089548377340251118e-13
1.445439770745927979e+12 2.027173146779379209e+00 -8.592394032635078603e-13
1.513561248436207275e+12 2.013089015284708072e+00 -8.122067974150825983e-13
1.584893192461110840e+12 1.999050983373408918e+00 -7.677140698926553968e-13
1.659586907437562988e+12 1.985059169589465933e+00 -7.256257512699211384e-13
1.737800828749376221e+12 1.971113692227067338e+00 -6.858135153401337118e-13
1.819700858609982666e+12 1.957214669435495713e+00 -6.481558308521621263e-13
1.905460717963252197e+12 1.943362219298015114e+00 -6.125375899236045141e-13
1.995262314968882812e+12 1.929556459803019708e+00 -5.788497549577319009e-13
2.089296130854040771e+12 1.915797508783577685e+00 -5.469890407411775032e-13
2.187761623949551758e+12 1.902085483887977269e+00 -5.168576207702750699e-13
2.290867652767770020e+12 1.888420502579197802e+00 -4.883628461948146720e-13
2.398832919019484863e+12 1.874802682138768883e+00 -4.614169750224101499e-13
2.511886431509582031e+12 1.861232139662355456e+00 -4.359369136833342146e-13
2.630267991895381348e+12 1.847708992048099130e+00 -4.118439723764435726e-13
2.754228703338163086e+12 1.834233355982557878e+00 -3.890636339131845066e-13
2.884031503126611816e+12 1.820805347927181517e+00 -3.675253350136386988e-13
3.019951720402019043e+12 1.807425084105857449e+00 -3.471622590483122253e-13
3.162277660168379395e+12 1.794092680493017955e+00 -3.279111394774163140e-13
3.311311214825907715e+12 1.780808252801821645e+00 -3.097120734215997806e-13
3.467368504525309570e+12 1.767571916472138183e+00 -2.925083448749931846e-13
3.630780547701017578e+12 1.754383786658279210e+00 -2.762462570962088655e-13
3.801893963205612793e+12 1.741243978216491906e+00 -2.608749737259158990e-13
3.981071705534969238e+12 1.728152605692193200e+00 -2.463463681935501185e-13
4.168693834703363770e+12 1.715109783306830726e+00 -2.326148809853763655e-13
4.365158322401665527e+12 1.702115624944192218e+00 -2.196373843431570460e-13
4.570881896148751953e+12 1.689170244136194654e+00 -2.073730539588094669e-13
4.786300923226379883e+12 1.676273754048893672e+00 -1.957832472789576265e-13
5.011872336272714844e+12 1.663426267469785058e+00 -1.848313881879706939e-13
5.248074602497733398e+12 1.650627896795826333e+00 -1.744828579845329318e-13
5.495408738576248047e+12 1.637878754017962013e+00 -1.647048923265449431e-13
5.754399373371566406e+12 1.625178950699218028e+00 -1.554664831362105312e-13
6.025595860743592773e+12 1.612528597956473631e+00 -1.467382846261011489e-13
6.309573444801942383e+12 1.599927806459910729e+00 -1.384925247525075427e-13
6.606934480075964844e+12 1.587376686427161898e+00 -1.307029237676392075e-13
6.918309709189362305e+12 1.574875347575446005e+00 -1.233446159679990655e-13
7.244359600749891602e+12 1.562423899095628732e+00 -1.163940707991081288e-13
7.585775750291820312e+12 1.550022449699409943e+00 -1.098290224734229416e-13
7.943282347242821289e+12 1.537671107567476048e+00 -1.036284084296083656e-13
8.317637711026708984e+12 1.525369980268842962e+00 -9.777229895918999662e-14
8.709635899560796875e+12 1.513119174874521411e+00 -9.224183687840071134e-14
9.120108393559115234e+12 1.500918797839120522e+00 -8.701918849007146819e-14
9.549925860214369141e+12 1.488768954980286718e+00 -8.208747692948501130e-14
1.000000000000000000e+13 1.476669751579557710e+00 -7.743074227079517024e-14
1.047128548050898438e+13 1.464621292161163435e+00 -7.303388538647181175e-14
1.096478196143182812e+13 1.452623680722163968e+00 -6.888262507602370535e-14
1.148153621496883984e+13 1.440677020446262002e+00 -6.496345402542775570e-14
1.202264434617413086e+13 1.428781413960502400e+00 -6.126359707480912951e-14
1.258925411794166211e+13 1.416936963041675490e+00 -5.777097104994822221e-14
1.318256738556410156e+13 1.405143768852219921e+00 -5.447415179102287408e-14
